Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Phosphorous,Potassium,Fertilizer Name
31,74,30,Clay,Pulses,12,63,34,DAP
24,39,19,Sandy,Pulses,57,30,38,17-17-17
26,35,35,Red,Cotton,33,65,49,20-20
36,57,59,Red,Pulses,53,60,79,20-20
38,43,69,Loamy,Cotton,46,85,38,14-35-14
38,78,15,Black,Wheat,27,73,34,20-20
26,50,18,Loamy,Groundnut,49,2,81,10-26-26
26,35,65,Black,Maize,51,69,92,14-35-14
30,71,21,Sandy,Maize,92,25,11,17-17-17
39,53,42,Red,Sugarcane,7,99,75,DAP
37,43,60,Clay,Cotton,12,80,73,DAP
31,32,23,Black,Groundnut,82,93,26,20-20
29,73,17,Loamy,Cotton,35,35,76,17-17-17
33,79,24,Loamy,Pulses,82,0,17,10-26-26
25,63,42,Red,Cotton,31,90,72,14-35-14
26,31,22,Loamy,Groundnut,22,66,12,14-35-14
39,53,44,Red,Wheat,53,4,10,DAP
30,51,25,Sandy,Pulses,52,43,61,14-35-14
39,46,53,Sandy,Sugarcane,58,50,80,14-35-14
26,57,68,Clay,Pulses,97,59,62,17-17-17
21,71,32,Loamy,Wheat,23,48,60,14-35-14
30,40,32,Red,Sugarcane,69,78,53,17-17-17
38,72,33,Sandy,Wheat,21,9,13,DAP
39,34,41,Loamy,Cotton,19,78,19,DAP
23,61,55,Red,Cotton,16,41,19,DAP
32,50,31,Red,Maize,86,61,58,17-17-17
22,74,39,Sandy,Pulses,36,38,5,28-28
23,33,63,Black,Cotton,31,18,45,20-20
34,35,45,Red,Pulses,4,63,4,DAP
30,68,39,Black,Sugarcane,69,89,50,20-20
33,71,52,Loamy,Maize,33,90,0,28-28
23,58,70,Clay,Sugarcane,31,22,34,17-17-17
30,77,24,Black,Maize,18,12,49,Urea
27,62,48,Clay,Wheat,53,28,50,17-17-17
37,49,42,Sandy,Groundnut,97,86,31,17-17-17
21,38,35,Black,Maize,9,84,83,Urea
22,72,28,Black,Pulses,32,15,29,17-17-17
25,50,23,Sandy,Cotton,39,70,71,17-17-17
34,62,49,Red,Rice,9,82,10,Urea
24,78,49,Red,Groundnut,46,0,76,10-26-26
36,44,47,Clay,Rice,97,68,3,28-28
26,53,25,Red,Pulses,74,12,18,10-26-26
25,35,38,Clay,Groundnut,14,99,26,DAP
40,43,19,Loamy,Maize,93,76,82,14-35-14
35,48,55,Sandy,Pulses,7,16,25,DAP
25,39,62,Sandy,Pulses,9,1,28,DAP
37,46,68,Clay,Wheat,52,8,39,DAP
20,65,43,Red,Cotton,13,80,77,DAP
38,47,55,Red,Pulses,86,64,92,14-35-14
27,67,19,Black,Wheat,71,12,11,DAP
33,36,43,Loamy,Pulses,58,11,80,10-26-26
40,61,20,Clay,Cotton,41,80,47,14-35-14
34,75,24,Black,Maize,69,18,36,20-20
31,55,68,Black,Maize,31,29,44,17-17-17
24,58,70,Sandy,Rice,32,78,10,17-17-17
23,52,59,Clay,Pulses,46,37,78,14-35-14
31,38,36,Loamy,Maize,62,88,66,14-35-14
39,32,23,Sandy,Sugarcane,77,34,32,17-17-17
20,61,48,Red,Pulses,54,63,6,28-28
21,35,29,Black,Maize,10,67,100,Urea
24,43,41,Loamy,Maize,83,98,99,14-35-14
26,72,50,Red,Rice,46,20,28,14-35-14
36,50,10,Red,Groundnut,15,91,34,DAP
22,34,69,Red,Cotton,13,59,55,DAP
30,45,68,Loamy,Pulses,96,100,29,17-17-17
37,50,33,Clay,Sugarcane,34,35,85,14-35-14
33,35,41,Clay,Maize,51,32,15,14-35-14
25,61,57,Black,Cotton,23,8,21,10-26-26
24,44,14,Black,Wheat,18,4,24,Urea
27,68,34,Red,Groundnut,8,8,96,DAP
28,61,54,Black,Wheat,37,100,22,17-17-17
27,36,38,Clay,Pulses,9,41,44,DAP
21,41,39,Clay,Groundnut,73,88,5,28-28
26,77,13,Sandy,Rice,13,56,93,Urea
38,48,19,Black,Wheat,32,17,32,17-17-17
38,59,37,Loamy,Rice,85,78,38,14-35-14
35,77,41,Sandy,Rice,19,25,9,Urea
30,53,24,Black,Rice,99,54,41,14-35-14
24,74,56,Black,Cotton,10,49,75,DAP
23,34,31,Loamy,Sugarcane,31,80,39,17-17-17
32,74,42,Loamy,Groundnut,72,88,44,14-35-14
36,47,34,Red,Maize,5,37,63,Urea
21,40,27,Sandy,Pulses,17,22,67,DAP
39,77,24,Red,Sugarcane,51,49,62,17-17-17
22,46,29,Sandy,Groundnut,25,11,66,10-26-26
25,69,64,Red,Pulses,21,87,78,17-17-17
28,59,10,Sandy,Sugarcane,82,22,53,17-17-17
21,31,10,Black,Cotton,26,78,67,17-17-17
36,44,52,Clay,Sugarcane,32,19,85,17-17-17
30,59,14,Loamy,Wheat,66,83,80,14-35-14
20,67,32,Red,Pulses,77,44,8,28-28
23,74,10,Black,Groundnut,94,95,34,14-35-14
26,36,62,Loamy,Wheat,15,93,89,Urea
36,36,63,Sandy,Pulses,28,96,44,14-35-14
36,49,35,Sandy,Wheat,36,83,40,17-17-17
39,52,54,Sandy,Rice,27,96,37,20-20
33,72,63,Sandy,Groundnut,38,50,32,20-20
37,65,43,Sandy,Wheat,32,76,39,14-35-14
28,55,48,Sandy,Pulses,21,11,41,10-26-26
34,33,13,Black,Maize,35,12,68,10-26-26
21,49,24,Black,Wheat,28,59,27,14-35-14
36,39,21,Loamy,Cotton,57,40,62,20-20
39,48,25,Sandy,Groundnut,41,14,45,10-26-26
30,57,44,Red,Wheat,0,55,81,Urea
38,40,47,Red,Pulses,76,42,46,17-17-17
38,30,63,Black,Sugarcane,76,65,96,20-20
40,76,69,Black,Groundnut,41,93,11,14-35-14
28,44,52,Sandy,Sugarcane,37,23,69,14-35-14
26,75,41,Black,Rice,16,36,72,Urea
31,30,64,Red,Pulses,25,94,97,20-20
33,38,55,Loamy,Pulses,44,82,77,14-35-14
33,74,67,Red,Pulses,2,74,1,DAP
25,31,34,Clay,Cotton,19,82,76,DAP
26,72,20,Black,Maize,9,86,50,Urea
30,62,63,Loamy,Rice,92,22,9,28-28
28,37,37,Red,Sugarcane,51,57,28,14-35-14
21,43,17,Loamy,Pulses,80,20,17,17-17-17
29,62,27,Sandy,Groundnut,85,26,11,17-17-17
21,50,55,Sandy,Maize,18,95,43,Urea
37,65,20,Loamy,Groundnut,1,59,10,DAP
27,32,54,Clay,Rice,38,74,22,14-35-14
30,55,23,Sandy,Rice,64,78,0,28-28
27,55,42,Loamy,Cotton,16,37,3,DAP
20,54,31,Loamy,Sugarcane,15,33,57,DAP
28,70,19,Loamy,Groundnut,33,84,52,17-17-17
32,60,15,Clay,Cotton,44,43,19,20-20
34,31,12,Red,Sugarcane,78,19,68,20-20
24,80,50,Black,Rice,56,37,76,17-17-17
37,69,50,Clay,Cotton,40,96,22,20-20
33,57,17,Sandy,Maize,49,20,32,20-20
33,48,67,Black,Rice,18,49,40,Urea
29,38,37,Clay,Cotton,80,8,50,10-26-26
23,44,44,Black,Wheat,14,27,14,Urea
35,60,56,Clay,Maize,73,12,5,10-26-26
36,37,20,Clay,Sugarcane,39,83,81,14-35-14
25,36,24,Sandy,Maize,31,35,29,20-20
33,42,54,Loamy,Rice,58,0,88,DAP
29,73,47,Sandy,Groundnut,66,3,85,10-26-26
32,44,47,Clay,Maize,42,95,12,14-35-14
33,42,70,Loamy,Maize,63,98,61,14-35-14
34,75,30,Sandy,Sugarcane,92,62,90,20-20
24,39,46,Loamy,Pulses,46,79,91,20-20
28,43,52,Red,Wheat,66,16,44,17-17-17
35,44,23,Black,Groundnut,76,90,91,20-20
28,72,53,Red,Sugarcane,34,24,90,20-20
22,61,69,Sandy,Cotton,96,12,84,10-26-26
